"flow_id","code","code_name"
"CPI","CP01","Food and non-alcoholic beverages"
"CPI","CP13","Individual consumption expenditure of non-profit institutions serving households (NPISHs)"
"CPI","CP14","Individual consumption expenditure of general government"
"CPI","HICP","Harmonised index of consumer prices (HICP)"
"CPI","NEER","Nominal effective exchange rate (NEER)"
"CPI","PCPIHACO","Core inflation including housing"
"CPI","PD_USD","Price deflator (USD)"
"CPI","REER","Real effective exchange rate (REER)"
"ER","ECU_XDC","ECU per domestic currency"
"ER","EUR_XDC","Euros per domestic currency"
"ER","USD_XDC","US Dollar per domestic currency"
"ER","USD_XDR","US Dollar per SDR"
"ER","XDC_ECU","Domestic currency per ECU"
"ER","XDC_EUR","Domestic currency per Euro"
"ER","XDC_USD","Domestic currency per US Dollar"
"ER","XDC_XDR","Domestic currency per SDR"
"ER","XDR_USD","SDR per US Dollar"
"ER","XDR_XDC","SDR per domestic currency"
"IMTS","G084","EMDEs by Source of Export Earnings: Services (including Income, Transfers)"
"IMTS","G1201","Emerging Market and Middle-Income Economies"
"IMTS","G1626","Sub-Saharan Africa (SSA): Middle-Income"
"IMTS","G1627","Sub-Saharan Africa (SSA): Low-Income"
"IMTS","G201","Low-Income Developing Countries (LIDC)"
"IMTS","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar"
"IMTS","MG_FOB_USD","Imports of goods, Free on board (FOB), US dollar"
"IMTS","TBG_USD","Trade balance goods, US dollar"
"IMTS","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar"
"IRFCL","IRFCLDT1_FR4OTH_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other reserve assets"
"IRFCL","IRFCLDT1_FR4OTH_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other reserve assets"
"IRFCL","IRFCLDT1_IRFCL121_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, gold not included in official reserve assets"
"IRFCL","IRFCLDT1_IRFCL121_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, gold not included in official reserve assets"
"IRFCL","IRFCLDT1_IRFCL31_BOFIORC_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, banks and other financial institutions outside reporting country"
"IRFCL","IRFCLDT1_IRFCL31_BOFIORC_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, banks and other financial institutions outside reporting country"
"IRFCL","IRFCLDT1_IRFCL31_BOFIORCLA_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, banks and other financial institutions outside reporting country, of which located abroad"
"IRFCL","IRFCLDT1_IRFCL31_BOFIORCLA_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, banks and other financial institutions outside reporting country, of which located abroad"
"IRFCL","IRFCLDT1_IRFCL31_BOFIRC_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, banks and other financial institutions in the reporting country"
"IRFCL","IRFCLDT1_IRFCL31_BOFIRC_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, banks and other financial institutions in the reporting country"
"IRFCL","IRFCLDT1_IRFCL31_BOFIRCLA_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, banks and other financial institutions in the reporting country, of which located abroad"
"IRFCL","IRFCLDT1_IRFCL31_BOFIRCLA_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, banks and other financial institutions in the reporting country, of which located abroad"
"IRFCL","IRFCLDT1_IRFCL31_ONCBBISIMF_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, with Other National Central Banks, BIS and IMF"
"IRFCL","IRFCLDT1_IRFCL31_ONCBBISIMF_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, with Other National Central Banks, BIS and IMF"
"IRFCL","IRFCLDT1_IRFCL32_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, securities"
"IRFCL","IRFCLDT1_IRFCL32_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Official reserve currency and deposits, securities"
"IRFCL","IRFCLDT1_IRFCL34_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets"
"IRFCL","IRFCLDT1_IRFCL34_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets"
"IRFCL","IRFCLDT1_IRFCL37_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, financial derivatives not included in official reserve assets"
"IRFCL","IRFCLDT1_IRFCL37_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, financial derivatives not included in official reserve assets"
"IRFCL","IRFCLDT1_IRFCL40_USD","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, loans not included in official reserve assets"
"IRFCL","IRFCLDT1_IRFCL40_XDC","Official Reserve Assets and Other Foreign Currency Assets (approximate market value), Other foreign currency assets, loans not included in official reserve assets"
