flow_id,flow_name,dsd_ref,concept_ref,codelist_id,indicator_candidate,code,code_name,parent_code
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,LUR,Unemployment rate,NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PCOALSA,"Coal, South Africa, Export price, US dollars per metric tonne",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,DSP,"External debt: total debt service, amortization, US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,DSI,"External debt: total debt service, interest, US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,DSP_NGDPD,"External debt: total debt service, amortization, Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,BX,"Exports of goods and services, US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,BM,"Imports of goods and services, US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,DS,"External debt: total debt service, US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,TTPCH,"Terms of trade of goods and services, percent change",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,DSI_NGDPD,"External debt: total debt service, interest, Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDP_RPCHMK,"Gross domestic product (GDP), Constant prices, Percent",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDPD,"Gross domestic product (GDP), Current prices, US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,PTEA,"Tea, Kenyan, Unit prices, US cents per kilogram",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,DS_NGDPD,"External debt: total debt service, Percent of GDP",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,D,"External debt, US dollar",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDP_D,"Gross domestic product (GDP), Price deflator, Index",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDP_RPCH,"Gross domestic product (GDP), Constant prices, Percent change",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,TTTPCH,"Terms of trade of goods, percent change",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDP_R,"Gross domestic product (GDP), Constant prices, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGDP,"Gross domestic product (GDP), Current prices, Domestic currency",NA
WEO,World Economic Outlook (WEO),DSD_WEO,INDICATOR,CL_WEO_INDICATOR,TRUE,NGSD_NGDP,"Gross national savings, Percent of GDP",NA
