dataset_id,source_id,domain,frequency,unit,raw_file,processed_file,final_file,status,notes
external_01_fx_smc_bcv,bcv,external,daily,VES/USD; VES/EUR,data/raw/2_1_2a26_smc.xls,data/processed/external_01_fx_smc_bcv.csv,data/final/external_fx.csv,active,Official BCV market rates from SMC workbook
external_02_fx_ind_bcv,bcv,external,daily,VES/USD,data/raw/bcv_indx_latest.html,data/processed/external_02_fx_ind_bcv.csv,data/final/external_fx.csv,active,Official BCV investment index rate
external_03_fx_int_bcv,bcv,external,daily,VES/EUR,data/raw/bcv_fx_intervention.html,data/processed/external_03_fx_int_bcv.csv,,active,BCV exchange intervention EUR rate
external_04_fx_yadio,yadio,external,daily,VES/USD,data/raw/yadio_hist.json,data/processed/external_04_fx_yadio.csv,data/final/external_fx.csv,active,Unofficial FX source
external_05_bop_a_bcv,bcv,external,annual,USD mn,data/raw/bcv_bop_a.xlsx,data/processed/external_05_bop_a_bcv.csv,,active,BCV annual balance of payments workbook extracted from xlsx bytes served under xls URL
external_06_bop_q_bcv,bcv,external,quarterly,USD mn,data/raw/bcv_bop_q.xlsx,data/processed/external_06_bop_q_bcv.csv,,active,BCV quarterly balance of payments workbook extracted from xlsx bytes served under xls URL
external_07_res_bcv,bcv,external,monthly,USD mn,data/raw/bcv_reserves.xlsx,data/processed/external_07_res_bcv.csv,,active,BCV international reserves workbook full extract
external_08_res_imf,imf,external,annual,USD,data/raw/external_08_res_imf.csv,data/processed/external_08_res_imf.csv,,needs_review,IMF IRFCL Venezuela reserves candidate; tested key currently returns no observations
external_09_res_wb,wb,external,annual,USD,data/raw/external_09_res_wb.csv,data/processed/external_09_res_wb.csv,,active,World Bank reserve proxy indicators for Venezuela
oil_01_prod_opec,opec,oil,monthly,mbpd,data/raw/opec_momr.xlsx,data/processed/oil_01_prod_opec.csv,,active,OPEC MOMR production tables for Venezuela direct and secondary series
oil_02_price_opec,opec,oil,monthly,USD/b,data/raw/opec_momr_april_2026.pdf,data/processed/oil_02_price_opec.csv,,active,OPEC MOMR price table for ORB Merey North Sea Dated WTI and Dubai
oil_03_price_imf,imf,oil,annual,USD/b,data/raw/oil_03_price_imf.csv,data/processed/oil_03_price_imf.csv,,active,IMF WEO global oil price benchmarks excluding Merey
prices_01_cpi_bcv,bcv,prices,monthly,index,data/raw/bcv_cpi.xls,data/processed/prices_01_cpi_bcv.csv,,active,BCV CPI workbook full extract
monetary_01_mb_bcv,bcv,monetary,weekly,VES mn,data/raw/bcv_mb.xls,data/processed/monetary_01_mb_bcv.csv,,active,BCV weekly monetary base workbook full extract
monetary_02_liq_bcv,bcv,monetary,weekly,VES mn,data/raw/bcv_liq.xls,data/processed/monetary_02_liq_bcv.csv,,active,BCV weekly liquidity workbook full extract
real_01_gdp_a_a_bcv,bcv,real,annual,index,data/raw/bcv_gdp_a_a.xlsx,data/processed/real_01_gdp_a_a_bcv.csv,,active,BCV annual GDP activity workbook full extract
real_02_gdp_a_s_bcv,bcv,real,annual,index,data/raw/bcv_gdp_a_s.xlsx,data/processed/real_02_gdp_a_s_bcv.csv,,active,BCV annual GDP sector workbook full extract
real_03_gdp_q_a_bcv,bcv,real,quarterly,index,data/raw/bcv_gdp_q_a.xlsx,data/processed/real_03_gdp_q_a_bcv.csv,,active,BCV quarterly GDP activity workbook full extract
real_04_gdp_q_s_bcv,bcv,real,quarterly,index,data/raw/bcv_gdp_q_s.xlsx,data/processed/real_04_gdp_q_s_bcv.csv,,active,BCV quarterly GDP sector workbook full extract
real_05_gdp_imf,imf,real,annual,mixed,data/raw/real_05_gdp_imf.csv,data/processed/real_05_gdp_imf.csv,,active,IMF WEO Venezuela GDP and GDP per capita indicators
real_06_gdp_wb,wb,real,annual,mixed,data/raw/real_06_gdp_wb.csv,data/processed/real_06_gdp_wb.csv,,active,World Bank Venezuela total GDP indicators
real_07_gdppc_wb,wb,real,annual,mixed,data/raw/real_07_gdppc_wb.csv,data/processed/real_07_gdppc_wb.csv,,active,World Bank Venezuela GDP per capita indicators
real_08_incpc_wb,wb,real,annual,mixed,data/raw/real_08_incpc_wb.csv,data/processed/real_08_incpc_wb.csv,,active,World Bank Venezuela income per capita indicators
fiscal_01_exp_imf,imf,fiscal,annual,mixed,data/raw/fiscal_01_exp_imf.csv,data/processed/fiscal_01_exp_imf.csv,,active,IMF WEO Venezuela general government expenditure indicators
fiscal_02_bal_imf,imf,fiscal,annual,mixed,data/raw/fiscal_02_bal_imf.csv,data/processed/fiscal_02_bal_imf.csv,,active,IMF WEO Venezuela fiscal balance indicators
fiscal_03_exp_wb,wb,fiscal,annual,mixed,data/raw/fiscal_03_exp_wb.csv,data/processed/fiscal_03_exp_wb.csv,,active,World Bank Venezuela public expenditure indicators
fiscal_04_bal_wb,wb,fiscal,annual,mixed,data/raw/fiscal_04_bal_wb.csv,data/processed/fiscal_04_bal_wb.csv,,active,World Bank Venezuela fiscal balance indicators
