source,indicator_id,indicator_name,source_note,source_organization,source_id,source_name,topics
wb,1.0.HCount.1.90usd,Poverty Headcount ($1.90 a day),The poverty headcount index measures the proportion of the population with daily per capita income (in 2011 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.0.HCount.2.5usd,Poverty Headcount ($2.50 a day),The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.0.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.0.HCount.Ofcl,Official Moderate Poverty Rate-National,The poverty headcount index measures the proportion of the population with daily per capita income below the official poverty line developed by each country.,LAC Equity Lab tabulations of data from National Statistical Offices.,37,LAC Equity Lab,Poverty 
wb,1.0.HCount.Poor4uds,Poverty Headcount ($4 a day),The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.0.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.0.PGap.1.90usd,Poverty Gap ($1.90 a day),The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.0.PGap.2.5usd,Poverty Gap ($2.50 a day),The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.0.PGap.Poor4uds,Poverty Gap ($4 a day),The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.0.PSev.1.90usd,Poverty Severity ($1.90 a day),The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.0.PSev.2.5usd,Poverty Severity ($2.50 a day),The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.0.PSev.Poor4uds,Poverty Severity ($4 a day),The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.HCount.1.90usd,Poverty Headcount ($1.90 a day)-Rural,The poverty headcount index measures the proportion of the population with daily per capita income (in 2011 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.HCount.2.5usd,Poverty Headcount ($2.50 a day)-Rural,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount-Rural,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.HCount.Ofcl,Official Moderate Poverty Rate- Rural,The poverty headcount index measures the proportion of the population with daily per capita income below the official poverty line developed by each country.,LAC Equity Lab tabulations of data from National Statistical Offices.,37,LAC Equity Lab,Poverty 
wb,1.1.HCount.Poor4uds,Poverty Headcount ($4 a day)-Rural,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount-Rural,The poverty headcount index measures the proportion of the population with daily per capita income (in 2005 PPP) below the poverty line.,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.PGap.1.90usd,Poverty Gap ($1.90 a day)-Rural,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.PGap.2.5usd,Poverty Gap ($2.50 a day)-Rural,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.PGap.Poor4uds,Poverty Gap ($4 a day)-Rural,The poverty gap captures the mean aggregate income or consumption shortfall relative to the poverty line across the entire population. It measures the total resources needed to bring all the poor to the level of the poverty line (averaged over the total population). ,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.PSev.1.90usd,Poverty Severity ($1.90 a day)-Rural,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.PSev.2.5usd,Poverty Severity ($2.50 a day)-Rural,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1.PSev.Poor4uds,Poverty Severity ($4 a day)-Rural,The poverty severity index combines information on both poverty and inequality among the poor by averaging the squares of the poverty gaps relative the poverty line,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,37,LAC Equity Lab,Poverty 
wb,1.1_ACCESS.ELECTRICITY.TOT,Access to electricity (% of total population),Access to electricity is the percentage of population with access to electricity.,World Bank Global Electrification Database 2012,35,Sustainable Energy for All,
wb,1.1_TOTAL.FINAL.ENERGY.CONSUM,Total final energy consumption (TFEC),Total final energy consumption (TFEC): This indicator is derived form energy balances statistics and is equivalent to total final consumption excluding non-energy use.,"World Bank and International Energy Agency (IEA Statistics © OECD/IEA, http://www.iea.org/stats/index.asp).  ",35,Sustainable Energy for All,
